DATE,GVZ,OVX,TLT_IV30,VIX,VXEEM,VXN
2000-01-03,,,,24.674999999999997,,
2000-01-04,,,,25.9825,,
2000-01-05,,,,27.310000000000002,,
2000-01-06,,,,25.955000000000002,,
2000-01-07,,,,23.4375,,
2000-01-10,,,,21.862499999999997,,
2000-01-11,,,,22.2,,
2000-01-12,,,,22.9475,,
2000-01-13,,,,22.215000000000003,,
2000-01-14,,,,19.787499999999998,,
2000-01-18,,,,21.3725,,
2000-01-19,,,,21.8675,,
2000-01-20,,,,21.71,,
2000-01-21,,,,21.195,,
2000-01-24,,,,22.8425,,
2000-01-25,,,,23.49,,
2000-01-26,,,,22.895,,
2000-01-27,,,,23.082500000000003,,
2000-01-28,,,,24.900000000000002,,
2000-01-31,,,,26.025000000000002,,
2000-02-01,,,,23.977500000000003,,
2000-02-02,,,,23.375,,
2000-02-03,,,,22.5975,,
2000-02-04,,,,21.192500000000003,,
2000-02-07,,,,22.955,,
2000-02-08,,,,21.545,,
2000-02-09,,,,22.1575,,
2000-02-10,,,,23.182499999999997,,
2000-02-11,,,,23.745,,
2000-02-14,,,,24.5525,,
2000-02-15,,,,23.6475,,
2000-02-16,,,,23.32,,
2000-02-17,,,,23.044999999999998,,
2000-02-18,,,,24.7775,,
2000-02-22,,,,26.34,,
2000-02-23,,,,24.505,,
2000-02-24,,,,24.6625,,
2000-02-25,,,,24.57,,
2000-02-28,,,,25.215000000000003,,
2000-02-29,,,,23.5625,,
2000-03-01,,,,22.105,,
2000-03-02,,,,21.427500000000002,,
2000-03-03,,,,19.604999999999997,,
2000-03-06,,,,20.987499999999997,,
2000-03-07,,,,23.32,,
2000-03-08,,,,24.2675,,
2000-03-09,,,,23.192500000000003,,
2000-03-10,,,,21.165,,
2000-03-13,,,,22.7825,,
2000-03-14,,,,23.474999999999998,,
2000-03-15,,,,23.435000000000002,,
2000-03-16,,,,21.2075,,
2000-03-17,,,,21.815,,
2000-03-20,,,,22.7025,,
2000-03-21,,,,22.4675,,
2000-03-22,,,,21.66,,
2000-03-23,,,,21.900000000000002,,
2000-03-24,,,,22.96,,
2000-03-27,,,,24.445,,
2000-03-28,,,,24.88,,
2000-03-29,,,,24.32,,
2000-03-30,,,,24.77,,
2000-03-31,,,,24.325,,
2000-04-03,,,,24.7275,,
2000-04-04,,,,26.2575,,
2000-04-05,,,,28.6875,,
2000-04-06,,,,27.435000000000002,,
2000-04-07,,,,24.8125,,
2000-04-10,,,,25.61,,
2000-04-11,,,,27.41,,
2000-04-12,,,,28.047500000000003,,
2000-04-13,,,,28.759999999999998,,
2000-04-14,,,,31.865000000000002,,
2000-04-17,,,,31.3575,,
2000-04-18,,,,27.075000000000003,,
2000-04-19,,,,26.764999999999997,,
2000-04-20,,,,26.3425,,
2000-04-24,,,,27.7275,,
2000-04-25,,,,25.787499999999998,,
2000-04-26,,,,26.217499999999998,,
2000-04-27,,,,27.7675,,
2000-04-28,,,,26.0575,,
2000-05-01,,,,25.9125,,
2000-05-02,,,,27.5775,,
2000-05-03,,,,31.13,,
2000-05-04,,,,31.21,,
